Name,Website,Year founded,Bio,Internship,Email,Phone,Street address 1,Street address 2,City,State,Zip code,Specialty,Address,Longitude,Latitude
Sirona Dx,https://sironadx.com/,2016,"Sirona Dx is a technical CRO, founded in 2016 to accelerate the pace of immunotherapy and targeted therapy development.  Access leading-edge single cell proteomics and genomics services to support exploratory biomarker programs and advance precision medicine initiatives with safer and more effective treatment solutions. ",,info@sironadx.com,(503) 816-9692,4640 Southwest Macadam Avenue,,Portland,Oregon,97239,Immunotherapy,4640 Southwest Macadam Avenue  Portland Oregon 97239,-122.6716303,45.4890795
PDX Pharmaceuticals ,https://www.pdxpharm.com/,2010,PDX Pharmaceuticals (DBA Raksa Therapeutics) is a biopharmaceutical company leveraging novel nano- technology and cancer systems biology to develop next-generation combi- nation immunotherapies for cancer.,,info@pdxpharm.com,(503) 418-0483,3303 S Bond Avenue,"CH13B, 13TH Floor",Portland,Oregon,97239,Immunotherapy,"3303 S Bond Avenue CH13B, 13TH Floor Portland Oregon 97239",-122.6712438,45.4988372
Nobilis Theraputics,https://www.nobilistx.com/,2016,Nobilis Therapeutics is a clinical stage biotechnology company developing proprietary inhalation-based therapeutics using controlled self-administration of inert gases to address unmet medical need in the treatment of psychiatric and neurodegenerative diseases.,,info@nobilistx.com,(971)229-1679,111 S.W. Fifth Avenue,Suite 3150,Portland,Oregon,97204,Health,111 S.W. Fifth Avenue Suite 3150 Portland Oregon 97204,-122.6759678,45.5226639
AgonOX,https://www.agonox.com/,2012,At AgonOx we believe a cure for many types of cancer will be found through harnessing the power of the immune system. Within all tumors there exists a diverse mix of immune cells. In particular our company is interested in T cells and their function within tumor-bearing hosts. Some of these T cells are responding to new or overly expressed antigens that a tumor produces and are capable of destroying the tumor. Others are actively shutting down the immune response to protect healthy tissue. This dynamic and complex relationship is ongoing in the tumor microenvironment and is unique relative to blood.  ,,andrew.weinberg@agonox.com,,4805 NE Glisan St,,Portland,Oregon,97213,Immunotherapy,4805 NE Glisan St  Portland Oregon 97213,-122.6138661,45.527888
Hemex Health,https://hemexhealth.com/,2015,"Hemex Health is working to empower the frontlines of healthcare with our inexpensive, portable, and easy-to-use diagnostic device - Gazelle®. Gazelle provides affordable, accurate testing to new populations at sites where it is needed most. Hemex designs products for the real world by listening to the needs of providers including those located in remote and challenging settings. Initial tests include sickle cell disease, beta thalassemia, and (soon to be released) ferritin.",,g.vanroekel@hemexhealth.com,(503)218-3957,4640 SW Macadam Avenue,Suite 250,Portland,Oregon,97239,Diagnostic,4640 SW Macadam Avenue Suite 250 Portland Oregon 97239,-122.6716303,45.4890795
Sedia Biosciences,https://www.sediabio.com/,2009,"Sedia Bioscience’s mission is to advance global access to healthcare by developing innovative disease surveillance and monitoring tools, expanding accessible point-of-care diagnostic testing into both technology-rich and resource-limited settings and providing cost-effective specimen collection devices.
",,customerservice@sediabio.com,(503)459-4159,"9590 SW Gemini Drive
",,Beaverton,Oregon,97008,Diagnostic,"9590 SW Gemini Drive
  Beaverton Oregon 97008",-122.7913355,45.4514217
Sparrow Pharmaceuticals,https://sparrowpharma.com/,2013,Sparrow Pharmaceuticals is a clinical-stage biopharmaceutical company developing targeted cardiometabolic therapeutics to deliver improved outcomes for patients who struggle to control type 2 diabetes and related metabolic conditions with current options.,,info@sparrowpharma.com,(617)465-0328,1050 SW 6th Avenue,"Suite 1100
",Portland,Oregon,97204,Health,"1050 SW 6th Avenue Suite 1100
 Portland Oregon 97204",-122.6796421,45.5165509
Schrodinger,https://www.schrodinger.com/,1990,"Schrödinger’s therapeutics group strives to reduce risk in drug discovery and development by selecting high-value targets with established human genetics or clinical validation, where we can solve a design challenge, and where we believe we can deliver value for patients.",,info@schrodinger.com,(503)299-1150,101 SW Main Street,Suite 1300,Portland,Oregon,97204,Pharmaceutical,101 SW Main Street Suite 1300 Portland Oregon 97204,-122.6753334,45.5155341
Ubivac,https://www.ubivac.com/,2005,UbiVac is a clinical stage immuno-oncology company that offers a pipeline of groundbreaking immunotherapies in preclinical and clinical trials.,,,,18183 SW Boones Ferry Rd,,Portland,,97224,Immunotherapy,18183 SW Boones Ferry Rd  Portland  97224,-122.7574152,45.3879544
Aronora,https://aronorabio.com/,2009,"Aronora is a clinical stage biopharmaceutical company committed to developing and commercializing novel medicines for blood diseases with significant unmet medical need. We have a talented and dedicated team of scientists and clinicians with extensive experience in pharmaceutical product development, from discovery through commercialization. Our robust pipeline of innovative product candidates target disease modifying pathways with unique mechanisms of action. We aim to bring these exciting new therapies to patients in need.",,,(503)530-6842,1818 SW 4th Ave.,Suite 102,Portland,Oregon,97201,Pharmaceutical,1818 SW 4th Ave. Suite 102 Portland Oregon 97201,-122.6801299,45.5107972
Tricol Biomedical,https://tricolbiomedical.com/,2001,"Tricol Biomedical is a fully integrated medical device company dedicated to significantly advancing the standard of care in hemostatic and wound-care management. Born on the battlefield, our HemCon product line has grown to meet market needs in Trauma Management, Procedural Care, and Consumer Self-Care. We are fully committed to quality and innovation in bleeding control and wound-care technology using our proprietary chitosan, Chito+™.",,info@tricolbiomedical.com,(503)245-0459,"720 SW Washington St Ste 200,",,Portland,Oregon,97205,Medical device,"720 SW Washington St Ste 200,  Portland Oregon 97205",-122.6794886,45.5206906
Lumencor,https://lumencor.com/,2006,"Lumencor brings creative, intelligent design to the manufacture of best-in-class illuminators and instrumentation in order to produce the best-quality data. In so doing, our products foster better science, metrology, diagnostics, and treatment with the highest precision and industry-leading test and measurement capabilities.",,info@lumencor.com,(503)213-4269,14940 NW Greenbrier Parkway,,Beaverton,Oregon,14940,Medical device,14940 NW Greenbrier Parkway  Beaverton Oregon 14940,-122.8306313,45.5245138
AbSci,https://www.absci.com/,2011,"Absci is a data-first generative AI drug creation company unlocking novel biology through generative AI. Our Integrated Drug Creation™ Platform powers cutting-edge de novo AI and lead optimization models aimed at designing better biologics against difficult-to-drug targets.

Leveraging our synthetic biology roots, Absci has built a proprietary data advantage that fuels a continuous learning cycle: data to train, AI to create, and wet lab to validate in as little as six-weeks.

These iterative cycles drive rapid AI model innovation enabling Absci to advance our mission of creating better biologics for patients, faster.",,info@absci.com,(360)949-1041,18105 SE Mill Plain Blvd,,Vancouver,Washington,98683,Data science,18105 SE Mill Plain Blvd  Vancouver Washington 98683,-122.485105,45.614665
Capsigen,https://capsigen.com/,2020,"The next-generation AAV vectors are fueling gene therapy. By combining state-of-the-art knowledge of biology, directed evolution, and data science, Capsigen is engineering novel AAV capsids to address difficult-to-treat diseases.

With highly diverse libraries using the most clinically relevant models, Capsigen is delivering fit-for-purpose vectors designed for tomorrow’s medicine—today.",,,,1010 Washington Street,Suite 220,Vancouver,Washington,98660,Data science,1010 Washington Street Suite 220 Vancouver Washington 98660,-122.6730737,45.6291308
CytoDyn,https://www.cytodyn.com/,2002,"CytoDyn is committed to enhancing the lives of patients through target specific medicine. Our team is focused on developing leronlimab, a monoclonal antibody CCR5 receptor antagonist, to be used as a platform drug for a variety of indications. ",,,(360)980-8524,1111 Main Street,Suite 660,Vancouver,Washington,98660,Pharmaceutical,1111 Main Street Suite 660 Vancouver Washington 98660,-122.6712136,45.6297575
Oasis Diagnotics Corporation,https://4saliva.com/,2002,"Oasis Diagnostics® Corporation was founded in 2002 to address a growing need for non-invasive saliva based technology for rapid testing, sample collection, and molecular diagnostics [DNA, RNA and proteins] in the Life Sciences area. The Company is dedicated to meeting the need for more effective screening tools, which may be applied to the early detection of diseases and medical disorders, utilizing non-invasive test specimens, particularly oral fluids (saliva).",,info@4saliva.com,"(360)546-1563
",15720 NE 31st Avenue,,Vancouver,Washington,98686,Diagnostic,15720 NE 31st Avenue  Vancouver Washington 98686,-122.6391366,45.7357414
Birch Bioscience,https://www.birchbiosciences.com/,,Birch Biosciences is developing novel plastic recycling technologies using generative AI and advanced enzyme engineering to bring plastics into the circular economy.,,hello@birchbiosciences.com,(503)208-4065,4023 NE Hancock St,,Portland,Oregon,97212,Data science,4023 NE Hancock St  Portland Oregon 97212,-122.6215545,45.5366853
AirOmatix,https://www.airomatixinc.com/,2019,"AirOmatix is developing the only portable oxygen concentrator for high-flow oxygen patients, freeing them from bulky oxygen cylinders.  Our novel, patent-pending technology will also enable us to develop low-flow oxygen concentrators that are smaller and quieter than existing options.",,info@AirOmatixInc.com,,2828 S Corbette Ave,,Lake Oswego,Oregon,97035,Medical device,2828 S Corbette Ave  Lake Oswego Oregon 97035,-122.7244519,45.4113707
CanX LLC,,2022,CANX LLC is developing therapeutics to address iron related health conditions such as iron overload disease and certain forms of cancer which depend on iron for their growth.,,,,4640 S Macadam Ave,Suite 270,Portland ,Oregon,97239,Immunotherapy,4640 S Macadam Ave Suite 270 Portland  Oregon 97239,-122.6716303,45.4890795
Captis Biotechnology,https://www.captisbiotech.com/,2019,"Captis Biotechnology addresses an unmet medical need: an accurate method for detecting and treating deadly diseases. Captis has developed a breakthrough in new diagnostic technology, using biomarkers, that can potentially change the way ovarian cancer is diagnosed, providing a reliable way to detect early stages of the disease.",,info@captisbiotech.com,(503)725-9724,2828 S Corbette Ave,Suite 211,Portland ,Oregon,97201,Pharmecutical,2828 S Corbette Ave Suite 211 Portland  Oregon 97201,-122.6749465,45.5024238
Caravel,https://www.caravel.bio/,2022,Caravel is a catalysis company for the 21st century and beyond. We make the chemicals the world depends on from truly sustainable carbon sources. We do this through innovative biotechnologies that make sustainable catalysis achievable at scale.,,,,4640 S Macadam Ave,Suite 130,Portland ,Oregon,97239,Pharmecutical,4640 S Macadam Ave Suite 130 Portland  Oregon 97239,-122.6716303,45.4890795
Circumvent,https://www.circumventpharmaceuticals.com/,2020,"In the next 20 years, neurodegenerative disease is expected to overtake cancer as the second leading cause of death worldwide. At the same time, progress in developing disease-modifying treatments has been slowed by the lack of novel insights into driver mechanisms of disease. Circumvent was formed with the mission of developing precision medicines for neurodegenerative disease, starting with Batten Disease.",,,,4640 S Macadam Ave,Suite 200,Portland ,Oregon,97239,Health,4640 S Macadam Ave Suite 200 Portland  Oregon 97239,-122.6716303,45.4890795
Gamma Diagnostics,https://www.gammadiagnostics.com/,,"Gamma Diagnostics is an early stage biotechnology company developing novel medical devices for cardiovascular risk assessment, surgical therapy and hemorrhage control based upon the use of human clotting proteins.",,,,4640 S Macadam Ave,Suite 200,Portland ,Oregon,97239,Medical device,4640 S Macadam Ave Suite 200 Portland  Oregon 97239,-122.6716303,45.4890795
Health Technology Innovations,https://hti.ai/,2017,"Health Technology Innovations (HTI) is a Portland based startup company developing advanced medical image processing solutions using artificial intelligence and machine learning. Founded in 2017 by former Intel engineers, HTI is partnering with the Oregon Health and Science University’s National Cryo-EM Research Center to improve processing and analysis of large imaging datasets using cryogenic electron microscopy (cryo-EM), the Nobel Prize-winning imaging method that is revolutionizing structural biology.",,info@hti.ai,,4640 S Macadam Ave,Suite 200,Portland ,Oregon,97239,Data science,4640 S Macadam Ave Suite 200 Portland  Oregon 97239,-122.6716303,45.4890795
Madorra,https://www.madorra.com/,2014,"Our goal is to empower people to live fuller, healthier lives. We’re changing the paradigm for treating vaginal dryness by providing a nonhormonal & noninvasive solution to a problem that has previously only been served by pharmaceuticals. All people have the right to choose; we are focused on giving post-menopausal people and breast cancer survivors the power to choose how they approach their vaginal health.",,,,4640 S Macadam Ave,Suite 200,Portland ,Oregon,97239,,4640 S Macadam Ave Suite 200 Portland  Oregon 97239,-122.6716303,45.4890795
Vivifi Medical,https://www.vivifimedical.com/,,Vivifi Medical is developing a permanent solution that reverses Benign Prostate Hyperplasia (BPH) through a robotic/laparoscopic procedure.,,,,4640 S Macadam Ave,Suite 60,Portland,Oregon,97239,Health,4640 S Macadam Ave Suite 60 Portland Oregon 97239,-122.6716303,45.4890795
OmnEcoli,http://omnecoil.com/,,The OmnEcoil is a novel device that utilizes the benefits of MRI for prostate cancer detection and tissue sampling in one integrated procedure for a more efficient and accurate diagnosis.,,,,4640 SW Macadam Ave,Suite200D,Portland,Oregon,97239,Diagnostic,4640 SW Macadam Ave Suite200D Portland Oregon 97239,-122.6716303,45.4890795
